Year,Player,Tm,Pos,PPG,3PA_per_game,PER
1987,Michael Jordan*,CHI,SG,37.09,0.8,29.8
2006,Kobe Bryant,LAL,SG,35.4,6.48,28.0
1988,Michael Jordan*,CHI,SG,34.98,0.65,31.7
1990,Michael Jordan*,CHI,SG,33.57,2.99,31.2
1980,George Gervin*,SAS,SG,33.14,1.31,24.0
1985,Bernard King*,NYK,SF,32.89,0.18,25.2
1993,Michael Jordan*,CHI,SG,32.58,2.95,29.7
1989,Michael Jordan*,CHI,SG,32.51,1.21,31.1
1982,George Gervin*,SAS,SG,32.29,0.46,24.2
2003,Tracy McGrady,ORL,SG,32.09,5.97,30.3
2014,Kevin Durant,OKC,SF,32.01,6.06,29.8
2017,Russell Westbrook,OKC,PG,31.58,7.2,30.6
2007,Kobe Bryant,LAL,SG,31.56,5.17,26.1
1991,Michael Jordan*,CHI,SG,31.46,1.13,31.6
2002,Allen Iverson*,PHI,SG,31.38,4.47,21.9
2001,Allen Iverson*,PHI,SG,31.08,4.31,24.0
1983,Adrian Dantley*,UTA,SF,30.73,0.0,24.4
2005,Allen Iverson*,PHI,PG,30.69,4.51,23.2
1981,Adrian Dantley*,UTA,SF,30.65,0.09,24.3
1984,Adrian Dantley*,UTA,SF,30.61,0.05,24.6
1996,Michael Jordan*,CHI,SG,30.38,3.17,29.4
1986,Dominique Wilkins*,ATL,SF,30.33,0.9,23.3
2009,Dwyane Wade,MIA,SG,30.2,3.52,30.4
2010,Kevin Durant,OKC,SF,30.15,4.28,26.2
2016,Stephen Curry,GSW,PG,30.06,11.22,31.5
1992,Michael Jordan*,CHI,SG,30.05,1.25,27.7
2008,LeBron James,CLE,SF,30.0,4.79,29.1
1994,David Robinson*,SAS,C,29.79,0.36,30.7
2000,Shaquille O'Neal*,LAL,C,29.67,0.01,30.6
1997,Michael Jordan*,CHI,SG,29.65,3.62,27.8
1995,Shaquille O'Neal*,ORL,C,29.3,0.06,28.6
1998,Michael Jordan*,CHI,SG,28.74,1.54,25.2
2013,Carmelo Anthony,NYK,PF,28.66,6.18,24.8
2015,Russell Westbrook,OKC,PG,28.15,4.3,29.1
2004,Tracy McGrady,ORL,SG,28.03,7.66,25.3
2012,Kevin Durant,OKC,SF,28.03,5.21,26.2
2011,Kevin Durant,OKC,SF,27.71,5.31,23.6
1999,Allen Iverson*,PHI,SG,26.75,4.15,22.2
